"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18845","context menu","chromium","Fri Aug 01 23:46:27 IST 2025","passed","Fri Aug 01 23:46:46 IST 2025","","ContextMenuTest.spec.js","",""
"","9185","broken images validation","firefox","Fri Aug 01 23:46:48 IST 2025","failed","Fri Aug 01 23:46:57 IST 2025","","BrokenImages.spec.js","",""
"","37351","checkbox page validation","chromium","Fri Aug 01 23:45:48 IST 2025","broken","Fri Aug 01 23:46:26 IST 2025","","CheckboxTest.spec.js","",""
"","30134","add remove button validation","firefox","Fri Aug 01 23:46:44 IST 2025","broken","Fri Aug 01 23:47:14 IST 2025","","AddRemoveElementsTest.spec.js","",""
"","16587","add remove button validation","chromium","Fri Aug 01 23:45:29 IST 2025","passed","Fri Aug 01 23:45:46 IST 2025","","AddRemoveElementsTest.spec.js","",""
"","8612","checkbox page validation","firefox","Fri Aug 01 23:47:03 IST 2025","passed","Fri Aug 01 23:47:12 IST 2025","","CheckboxTest.spec.js","",""
"","13213","abtesting page validation","firefox","Fri Aug 01 23:46:28 IST 2025","passed","Fri Aug 01 23:46:41 IST 2025","","ABTestingTest.spec.js","",""
"","17753","abtesting page validation","chromium","Fri Aug 01 23:45:29 IST 2025","passed","Fri Aug 01 23:45:47 IST 2025","","ABTestingTest.spec.js","",""
"","30070","context menu","firefox","Fri Aug 01 23:47:13 IST 2025","broken","Fri Aug 01 23:47:44 IST 2025","","ContextMenuTest.spec.js","",""
"","37212","broken images validation","chromium","Fri Aug 01 23:45:47 IST 2025","broken","Fri Aug 01 23:46:24 IST 2025","","BrokenImages.spec.js","",""
